"","Estimate","Std. Error","z value","Pr(>|z|)"
"age12:siteUrban",-0.274910361671964,0.301139923287992,-0.91289908913557,0.361295616636001
"age13:siteUrban",0.0844964164016223,0.29663553618069,0.284849271565875,0.775759621929138
"age14:siteUrban",-0.261638898187883,0.231696124121844,-1.12923295190856,0.25879957646378
"age15:siteUrban",-0.280070712231268,0.275499246471158,-1.01659338752706,0.30934690115405
"age16:siteUrban",-0.10006036583155,0.275072803287995,-0.363759574321818,0.716037552501723
"age17:siteUrban",-0.524579086043175,0.335732819203282,-1.56248974195624,0.118172660566871
"age18:siteUrban",0.0123846389731675,0.269331560294273,0.0459828731532092,0.963323900712825
"age19:siteUrban",0.677339002836879,0.276160558632836,2.45270000245553,0.0141788533146716
"age20:siteUrban",-0.0825591817493654,0.425642554765989,-0.193963645845409,0.846204347683191
"age21:siteUrban",0.33513934121949,0.389894158988861,0.859564919076062,0.390028919853908
"age22:siteUrban",0.199373310793554,0.307878767265823,0.647570836287694,0.517262564965918
"age23:siteUrban",-0.692209927427124,0.656816954875764,-1.05388559520065,0.291935298659614
"age24:siteUrban",0.876405990486721,0.555253029952963,1.57839028912812,0.114475974745459
"age25:siteUrban",-0.330831151591558,0.319258554303184,-1.03624835460911,0.30008629328793
"age26:siteUrban",-1.13922403844816,0.617211830046667,-1.84575859208989,0.0649272654549043
"age27:siteUrban",-0.796041603722582,0.578687171096901,-1.37559918982424,0.16894575767257
"age28:siteUrban",0.298912452907817,0.343463587155668,0.870288624722074,0.38414269381539
"age29:siteUrban",0.409542081245657,0.584072068789943,0.701184157109464,0.483188095599749
"age30:siteUrban",0.45603279929027,0.370659750477359,1.23032727104295,0.21857457605564
"age31:siteUrban",-0.673860788758935,0.500806616301279,-1.34555089095219,0.178447398435498
"age32:siteUrban",0.505976939831772,0.370763127049547,1.36469056094717,0.172350327593593
"age33:siteUrban",0.299188276933837,0.556644621555084,0.537485256029246,0.590932466643089
"age34:siteUrban",0.357857265079149,0.328538463961179,1.08924008703418,0.27604802553139
"age35:siteUrban",-0.0860741238568125,0.766293785713519,-0.11232522755834,0.910565539678294
"age36:siteUrban",0.0875893701940303,0.422109399082569,0.207503956046468,0.835616303431255
"age37:siteUrban",0.505290362393192,0.538403172830392,0.938498114223352,0.347988485623285
"age38:siteUrban",-0.132059237098627,0.30067305695503,-0.439212074523785,0.660507876795015
"age39:siteUrban",-0.0700737825103694,0.418303444718777,-0.167519018538036,0.866961684339793
"age40:siteUrban",-0.395262401529553,0.491418062027225,-0.804330227299736,0.421206285007391
"age41:siteUrban",0.380015606067775,0.743017797276019,0.51144886093032,0.609036788642752
"age42:siteUrban",-0.455769347969427,0.448868355627374,-1.01537420104477,0.309927486151623
"age43:siteUrban",0.864618034734678,0.477421175457346,1.81101735570572,0.0701381651298684
"age44:siteUrban",-0.0625436264466179,0.43325956795465,-0.144356019053143,0.88521934468364
"age45:siteUrban",-0.65162464731205,0.337335191557777,-1.93168297770214,0.0533986470540222
"age46:siteUrban",-0.250948767047045,0.388192968072212,-0.646453665282169,0.517985595223782
"age47:siteUrban",-0.12056029992798,0.442703148400094,-0.272327631650416,0.785370111825949
"age48:siteUrban",0.129347381363491,0.598225308786438,0.21621850407146,0.828817430516761
"age49:siteUrban",-0.945206441891014,0.651640156584864,-1.45050367498019,0.14691811512646
"age50:siteUrban",0.351512836348331,0.49582305566179,0.708948146590634,0.478356655620719
"age51:siteUrban",0.143942306745165,0.443094500981641,0.324856901690886,0.74528937668768
"age52:siteUrban",-0.277792208046847,0.433655270218928,-0.640583032477861,0.521793626402155
"age53:siteUrban",0.145544054448369,0.395030688696618,0.368437335662663,0.712547162536131
"age54:siteUrban",-0.219605516481343,0.422174741091212,-0.52017682515472,0.602940336275535
"age55:siteUrban",0.232379607261718,0.530841326188588,0.437757189950132,0.661562307237723
"age56:siteUrban",-0.11552132518311,0.33987523294708,-0.339893331389337,0.733936858776307
"age57:siteUrban",-0.0449160513632995,0.382129190993454,-0.117541534177296,0.906430932623974
"age59:siteUrban",-0.0108507026192267,0.563233651321342,-0.0192650112324983,0.984629695737249
"age60:siteUrban",-0.200913383469175,0.517133118452305,-0.388513859004962,0.697635799990183
"age61:siteUrban",0.108826215144001,0.404896349411769,0.268775491066055,0.788102454844597
"age62:siteUrban",1.38404346373694,0.912957662815642,1.51599961324431,0.129519450201378
"age63:siteUrban",0.829698686057469,0.574155373930384,1.44507693166357,0.148436277756469
"age64:siteUrban",-0.382806031828509,0.547594723610445,-0.699068152637705,0.484509440211205
