"","Estimate","Std. Error","t value","Pr(>|t|)"
"age44",0.568965517241393,2.33560555272353,0.243605139822487,0.807583606549484
"age45",10.5689655172416,2.03920580149921,5.18288321339185,2.61316677694774e-07
"age46",5.06896551724137,2.03920580149919,2.48575475487307,0.0130803432763228
"age47",1.9022988505747,2.33560555272349,0.814477790719615,0.415553541564351
"age48",3.56896551724138,3.97851696920746,0.897059267275749,0.369890215948423
"age49",5.56896551724136,2.83697713984487,1.96299273583356,0.0499072222853934
"age50",1.41308316430019,5.64597910146396,0.250281330997805,0.802418109568899
"age51",5.56896551724129,2.83697713984488,1.96299273583353,0.0499072222853968
"age52",9.56896551724159,2.33560555272353,4.09699553337819,4.5032527725044e-05
"age53",3.90229885057472,2.33560555272351,1.67078676706532,0.0950578882483432
"age54",5.06896551724136,2.83697713984492,1.78674880599089,0.0742627166942804
"age55",3.56896551724129,3.97851696920747,0.897059267275724,0.369890215948437
"age56",6.23563218390797,2.33560555272348,2.6698139061353,0.00770495057860707
"age57",6.31896551724128,2.03920580149914,3.09873849544555,0.00199446405683381
"age58",4.05000000000005,3.97739293557319,1.01825493875083,0.308788290585947
"age59",4.23563218390834,2.33560555272356,1.81350492978969,0.0700356126516589
"age60",0.568965517240324,2.33560555272347,0.243605139822036,0.807583606549834
"age61",0.568965517241351,2.0392058014992,0.279013288812269,0.780288846933003
"age62",-4.08691683569974,6.08800887009432,-0.671305992304906,0.502171328030366
"age63",0.235632183908008,2.33560555272349,0.100886977098185,0.91965918796999
"age64",6.5689655172414,3.97851696920747,1.65110908614522,0.0990113969963739
"age65",3.04999999999996,2.83540060338538,1.07568574132289,0.282311678594968
"age66",21.5689655172412,3.97851696920743,5.42135818049257,7.31702419603648e-08
"age67",5.56896551724136,2.8369771398449,1.96299273583354,0.0499072222853958
"age68",3.56896551724138,3.97851696920744,0.897059267275756,0.36989021594842
"age69",-1.43103448275868,3.97851696920745,-0.35969043084005,0.719150025435188
"age70",-0.431034482758574,3.97851696920743,-0.108340491216867,0.913746030917401
"age71",-1.43103448275863,3.9785169692075,-0.359690430840035,0.7191500254352
"age72",4.06896551724129,2.8369771398449,1.4342609463056,0.151791635663873
"age73",-2.43103448275865,2.8369771398449,-0.856910141648711,0.391687502342191
"age75",0.568965517241363,3.97851696920745,0.143009448406275,0.88630979628729
"age76",-0.431034482758354,3.97851696920728,-0.108340491216816,0.913746030917441
"age77",-3.43103448275861,2.83697713984489,-1.20939800133398,0.22677862833649
"age78",2.56896551724137,3.97851696920744,0.645709327652594,0.518606843440407
"age79",-1.43103448275867,3.97851696920744,-0.359690430840048,0.71915002543519
"age80",3.43103448275862,3.97851696920744,0.862390310086354,0.388667096984014
"age81",-0.431034482758659,2.8369771398449,-0.151934422278152,0.879267461641425
"age82",-1.09770114942532,2.3356055527235,-0.469985673798948,0.638461563083969
"age83",-3.70588235294118,3.97355560430294,-0.932636339335004,0.351219343970799
"age84",-0.705882352941158,2.8300152222591,-0.249427051624718,0.80307860483283
"age85",0.294117647058844,3.97355560430282,0.0740187570900869,0.941009372924632
"age90",-1.43103448275861,3.97851696920743,-0.359690430840035,0.719150025435199
"age91",0.568965517241306,3.97851696920746,0.14300944840626,0.886309796287302
"age93",-0.43103448275863,3.97851696920744,-0.108340491216881,0.91374603091739
"sexMale",0.274847870182508,0.705059916377684,0.389822004907847,0.696746187499351
"siteUrban",-1.48103448275866,0.726374496484006,-2.03894064277802,0.0417027005205552
"age 1:sexMale",1.12098546315087,1.66322645196347,0.673982464521006,0.500468852312511
"age 2:sexMale",1.37450277916825,2.03336812823583,0.675973405937462,0.499204426272377
"age 3:sexMale",-0.391514536849197,1.52068395189312,-0.257459504561612,0.796873854643396
"age 4:sexMale",-2.00212059745515,1.86218024388906,-1.07514866191139,0.282551916435099
"age 5:sexMale",10.525152129818,3.37480824060557,3.1187407933819,0.00186506781197309
"age 6:sexMale",-0.808938779273436,1.96385415951495,-0.411913876269323,0.680485516878308
"age 7:sexMale",-4.469292314627,2.47307753070479,-1.80717840793018,0.0710168316753786
"age 8:sexMale",-1.10818120351578,2.49049366043759,-0.444964474762432,0.656435930578649
"age 9:sexMale",1.93348546315084,2.24399977168882,0.861624625610237,0.38908824991596
"age10:sexMale",-2.35421294954759,2.10925004738429,-1.1161374406354,0.264615306297483
"age11:sexMale",-0.274847870182608,2.38408923361979,-0.11528422103786,0.908241597034699
"age12:sexMale",1.02515212981737,2.73847615832688,0.374351307277295,0.708217555891697
"age13:sexMale",-5.69151453684915,2.64207768071014,-2.15418137718016,0.0314499445811195
"age14:sexMale",-3.34151453684915,2.31043214023913,-1.44627252999662,0.148395278669477
"age15:sexMale",-4.94151453684924,2.1555804499545,-2.29242872236735,0.0220754055200421
"age16:sexMale",1.08229498696025,2.06785960906069,0.523389006786526,0.60081255646035
"age17:sexMale",0.225152129817473,2.47307753070478,0.0910412742916754,0.927476931109563
"age18:sexMale",-0.608181203515759,2.64207768071015,-0.230190508006672,0.817987984966733
"age19:sexMale",-1.7748478701824,2.87702406454164,-0.616904075310598,0.537429977354866
"age20:sexMale",2.3537235583889,2.41496893546034,0.974639269196325,0.329960754258679
"age21:sexMale",6.97515212981753,3.0941817116964,2.25428005842403,0.0243813219693286
"age22:sexMale",-1.67484787018246,2.73847615832687,-0.611598485197602,0.540934091710706
