"","Estimate","Std. Error","t value","Pr(>|t|)"
"age29:sexMale",-0.596010818120199,6.02935390008291,-0.0988515233965623,0.921274778688907
"age30:sexMale",-4.13767748478695,5.73166798705685,-0.72189762109923,0.470516037279569
"age31:sexMale",-5.96267748478697,5.54539120267424,-1.07524920548644,0.282506932323366
"age32:sexMale",4.11232251521299,4.72744606506246,0.869882481707098,0.38456082552193
"age33:sexMale",0.820655848546805,7.57361549618149,0.108357210497492,0.913732772123195
"age34:sexMale",8.87065584854642,4.09231003668179,2.1676402249667,0.030407270144924
"age35:sexMale",6.48732251521301,7.57361549618147,0.856568770686054,0.391876120362207
"age36:sexMale",-4.26267748478692,5.73166798705684,-0.7437062813849,0.457218381276079
"age37:sexMale",7.61232251521292,5.73166798705685,1.32811644575417,0.184424458249259
"age38:sexMale",-2.31267748478687,7.19429682611527,-0.321459836963059,0.747925080058643
"age39:sexMale",-7.51267748478695,7.19429682611528,-1.04425459031881,0.296604803392029
"age40:sexMale",-5.1126774847869,7.19429682611526,-0.710657011846927,0.477452544502764
"age41:sexMale",9.48732251521313,7.33883922329735,1.29275519282332,0.19637638621196
"age42:sexMale",-10.6793441514533,5.41764961724734,-1.97121351618148,0.0489582787413906
"age43:sexMale",10.8206558485463,6.02935390008291,1.79466258373015,0.0729912415149908
"age44:sexMale",3.88732251521303,4.87331329933874,0.797675477942389,0.425236817483459
"age45:sexMale",12.3623225152129,5.73166798705693,2.15684553660978,0.0312411442561134
"age46:sexMale",-6.88767748478693,5.73166798705686,-1.20168814738407,0.229751773424144
"age47:sexMale",5.06637931034482,6.036181496058,0.839335151478377,0.401469801720592
"age48:sexMale",-5.01267748478692,7.33883922329736,-0.683034105567271,0.494733984724946
"age49:sexMale",-9.01267748478696,6.58447336767564,-1.36877727063668,0.171357810700654
"age50:sexMale",-3.35028735632185,8.02771520185498,-0.417340086447971,0.67651386533658
"age51:sexMale",-1.5126774847868,8.02258267400127,-0.18855243333159,0.850479572562663
"age52:sexMale",-5.35028735632197,8.02771520185505,-0.666476976548149,0.505250758673902
"age53:sexMale",-1.30434415145358,5.08427348169502,-0.256544844833707,0.79757975260372
"age54:sexMale",4.73732251521314,6.58447336767565,0.719468703217709,0.47201017109274
"age55:sexMale",0.862322515213313,7.33883922329735,0.117501213608257,0.906485058542097
"age56:sexMale",-4.29076354679811,4.62934264410486,-0.926862381263157,0.354208179354941
"age57:sexMale",3.11232251521318,7.33883922329732,0.424089208186089,0.671586480987768
"age58:sexMale",-7.60028735632181,9.2439577343067,-0.822189756246417,0.411153114459226
"age59:sexMale",-9.60028735632187,8.02771520185497,-1.195892868011,0.232004809314133
"age60:sexMale",-8.34601081812007,7.57361549618148,-1.10198501921942,0.270717391068809
"age61:sexMale",0.278989181879775,5.08427348169503,0.0548729691438163,0.956249968353257
"age62:sexMale",1.56637931034479,7.57905207033892,0.206672192750188,0.836305417408724
"age63:sexMale",-1.0126774847869,7.57361549618149,-0.133711235445935,0.893656205662271
"age64:sexMale",0.487322515213026,9.23950085192599,0.0527433811656008,0.957946274448001
"age65:sexMale",13.9818627450981,8.02107769001119,1.74314017211303,0.0815979948105787
"age66:sexMale",-19.0126774847868,8.02258267400127,-2.36989486520358,0.0179707345457346
"age67:sexMale",2.73732251521313,8.0225826740013,0.341202157265882,0.733018765458184
"age68:sexMale",-1.85028735632184,8.027715201855,-0.230487418872843,0.817757346046438
"age69:sexMale",0.987322515213105,9.23950085192596,0.10685885861543,0.914921096462649
"age70:sexMale",-1.59482758620683,9.24526365473908,-0.172502120627931,0.863075600372012
"age71:sexMale",5.73732251521307,8.0225826740013,0.715146574158214,0.474675364836837
"age72:sexMale",-8.76267748478695,8.02258267400129,-1.09225144082143,0.27496984723255
"age73:sexMale",2.90517241379318,6.5925574386977,0.440674569893026,0.659538125674316
"age75:sexMale",5.98732251521306,9.23950085192599,0.648013633113632,0.517115939634715
"age76:sexMale",-1.51267748478735,9.23950085192578,-0.163718528633726,0.869983822812348
"age77:sexMale",15.737322515213,8.02258267400126,1.96162796379935,0.0500662462523712
"age78:sexMale",-6.09482758620685,9.24526365473907,-0.659237833967307,0.509885702962304
"age79:sexMale",6.90517241379317,8.02921894172054,0.860005495417901,0.389979742927696
"age81:sexMale",-0.262677484786872,6.58447336767567,-0.0398934690929728,0.968185541875115
"age82:sexMale",10.9873225152132,7.57361549618151,1.45073677436526,0.147147905710235
"age91:sexMale",8.98732251521305,9.239500851926,0.972706497812555,0.330920271401957
"age 1:siteUrban",2.27282088122624,2.95271405481385,0.769739581630273,0.44162523704502
"age 2:siteUrban",4.59474548440132,4.23435033717513,1.08511226481714,0.278117731362816
