"","Estimate","Std. Error","t value","Pr(>|t|)"
"age25",2.47462765180999,0.792357492866827,3.12312014979066,0.00182980212428753
"age26",3.36595468996655,1.01810881041001,3.30608541596946,0.000972464380832245
"age27",5.82731477816453,1.58995244092986,3.66508747567099,0.000257426144820239
"age28",2.27649333096261,0.750720628507397,3.03241078573902,0.00247515844868949
"age29",3.0190950387695,1.07012193854404,2.82126263374913,0.00485780690982945
"age30",2.09964653732666,0.93209819950351,2.25260228851966,0.0244539837373458
"age31",3.01346010821049,0.86685990102715,3.47629427158854,0.000525507885144321
"age32",3.00788661104612,0.86622309341444,3.47241563277858,0.000533087064494095
"age33",2.06199848685601,0.867176010200663,2.37783156199036,0.0175617270532351
"age34",1.88680965044921,0.750799259907833,2.51306807452212,0.0120913566978561
"age35",3.1258323820825,1.20874353615693,2.58601786779414,0.00981942184239149
"age36",1.08301433717414,0.931939406411717,1.16210810458602,0.245409381782787
"age37",1.2104711096438,1.07018041992482,1.1310906900435,0.258229962555392
"age38",3.27439295005977,0.791631021602742,4.13626154193706,3.76159061802618e-05
"age39",3.2386621964124,1.1352438594174,2.85283392598527,0.00440321415102701
"age40",3.32701370778374,0.813780049968075,4.08834513443068,4.61687510203567e-05
"age41",3.08025210523289,1.07077547650495,2.87665544534783,0.00408615077786974
"age42",2.39748686304068,0.866585224273025,2.76659097788325,0.00574654267363684
"age43",0.535669794731809,1.069873209831,0.500685305332981,0.61667916747098
"age44",1.91744103694539,0.813583292295498,2.35678516889818,0.0185846916755378
"age45",4.49258700801254,0.813856855983242,5.5201193858408,4.10133684584247e-08
"age46",2.3330672051596,0.89722055791072,2.60032740510584,0.00942132903069086
"age47",1.15500945835568,1.13365814966778,1.01883399214671,0.308475371055917
"age48",0.680597056808101,1.0173941905591,0.668961021326538,0.503641635848099
"age49",0.901816036945371,1.13258801091662,0.796243672238343,0.426038877366158
"age50",2.2533172332043,1.42487754301157,1.58141114950958,0.114032468023461
"age51",2.66131115812691,1.13297034882785,2.34896805629579,0.0189777318346904
"age52",4.33704313778423,1.30385125924592,3.32633274465106,0.000905063949252432
"age53",1.774115308472,0.866222080599986,2.0481067710063,0.0407543218319694
"age54",3.00842705828458,0.867176010200668,3.46922311375798,0.000539401893398778
"age55",3.00811441735423,0.971541477157945,3.09622850704623,0.00200280214925473
"age56",1.88146133614937,0.899922410516343,2.0906928354744,0.0367535276064564
"age57",4.81043161754014,1.01759127573272,4.72727285724454,2.52874217263175e-06
"age58",1.48390842007023,2.23958667489272,0.66258137570912,0.507718641181519
"age59",1.3454454041458,1.30280915860739,1.03272639377512,0.301928112395283
"age60",0.501458796062654,0.971854991772683,0.51598108803041,0.605957223378674
"age61",1.06946811548329,0.897176715573151,1.1920373064966,0.233468784754996
"age62",-0.881490572905213,1.42510750652436,-0.618543210859259,0.536327979865477
"age63",1.15181603694538,1.13258801091662,1.01697707007616,0.309357577372338
"age64",1.87491009844452,1.30320725167553,1.43868912334086,0.150484431378443
"age65",5.95824343177786,1.83137016595195,3.25343480119474,0.00117012116234196
"age66",4.44256115812689,1.13297034882785,3.92116277599241,9.2820003964034e-05
"age67",2.40389408386189,0.972433833511391,2.47203871463583,0.0135644632016396
"age68",3.93971137862219,1.58942951363577,2.47869524557288,0.0133151765345574
"age69",0.239089583125829,1.07106107547932,0.223226843547491,0.823394774830738
"age70",-0.604485662825862,2.23772874071478,-0.270133574202911,0.787101278695288
"age71",0.101317295726096,1.5892685189909,0.0637508983003247,0.949178584774279
"age72",1.84038465458309,1.83307828758945,1.00398584558178,0.315576233797274
"age73",-0.791985662825873,1.58873490587392,-0.498500825970222,0.618217204930989
