"","Estimate","Std. Error","z value","Pr(>|z|)"
"age63",0.360592299238564,0.188323168310962,1.91475272252827,0.0555240463675401
"age64",0.473928511981996,0.214805457868202,2.20631503819974,0.0273619491686986
"age65",0.862898859777328,0.275873226783135,3.12788185297755,0.00176070941835916
"age66",0.626654816379128,0.179564012586443,3.48986863989495,0.000483258027656144
"age67",0.476054715616077,0.160875435052807,2.95915106902313,0.00308487833596928
"age68",0.713157409676873,0.248377959256642,2.87125883396114,0.0040884061104061
"age69",-0.0391266901193875,0.20526380530929,-0.190616607055646,0.848825978210966
"age70",-0.346656413341915,0.460403505159229,-0.752940430420974,0.451485711289271
"age71",0.0886485429645053,0.27743796135694,0.319525642889416,0.749327949483649
"age72",0.453004094570815,0.286064361363259,1.58357403352166,0.113290686867503
"age73",-0.398217085459773,0.332430412118072,-1.19789607371523,0.230957478477336
"age75",0.0341614350713706,0.387034275973395,0.0882646245877172,0.929666354674878
"age76",-0.252151923251457,0.421202647774598,-0.59864752651411,0.549407955922222
"age77",-0.214055479164616,0.276085359983932,-0.775323541882388,0.438148501773933
"age78",-0.0031998534470888,0.412067154272341,-0.0077653688577517,0.993804194348355
"age79",-0.143760500747035,0.357816572318015,-0.401771499334765,0.68785219901874
"age80",0.649703559963126,0.506662424362654,1.28232039465016,0.19973027647577
"age81",0.178832587085205,0.241189685419691,0.741460343853512,0.458414367907193
"age82",-0.0398125680286896,0.282361576334369,-0.140998532964499,0.887871101289984
"age83",-1.09988393207119,0.79472045608595,-1.3839884498358,0.166361991418392
"age84",0.0052632956235945,0.327081545090092,0.016091692431454,0.987161241137672
"age85",-0.00127164340309149,0.546120197381614,-0.00232850462075641,0.998142123792221
"age90",-0.335714070398352,0.617763537785905,-0.543434582755673,0.586830620303556
"age91",0.377095628785999,0.354413640234281,1.06399863316977,0.287329318732972
"age93",-0.11257051908414,0.575874802902299,-0.19547741716916,0.845019215144543
"sexMale",0.0710226811129035,0.0290755776544134,2.44269200622822,0.0145781725907188
"siteUrban",-0.363293130914436,0.0294760237510832,-12.3250386138356,6.64116644129822e-35
